product-base href,img-responsive src,product-brand,product-product
https://www.myntra.com/ethnic-dresses/bani+women/-bani-a-line-v-neck-midi-ethnic-dresses/29607266/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29607266/2024/5/18/b62d58f0-6625-4f7f-a965-848f46e91cd01715979439901EthnicDresses1.jpg",Bani Women,A-Line Midi Ethnic Dresses
https://www.myntra.com/ethnic-dresses/charukriti/charukriti-ruffled-cotton-a-line-midi-ethnic-dresses/29450024/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29450024/2024/5/10/d63569c8-f128-433a-9fd5-c937821fe49a1715336934683CharukritiPrintedA-LineMidiEthnicDresses1.jpg",Charukriti,A-Line Midi Ethnic Dress
https://www.myntra.com/dresses/athena+ample/athena-ample-plus-size-self-design-v-neck-a-line-dress/23662870/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23662870/2023/6/17/33d1187a-3919-4c8d-8e57-5de7bf6d932b1686988400555AthenaAmpleGreenPuffSleeveFitFlareDress1.jpg",Athena Ample,Plus Size A-Line Dress
https://www.myntra.com/ethnic-dresses/aaryaa+by+kashveen+kohli/aaryaa-by-kashveen-kohli-printed-cotton-maxi-ethnic-dresses/29716150/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29716150/2024/5/23/4e821619-527f-4ba9-b1ec-309c8fb855f01716458811047EthnicDresses1.jpg",Aaryaa By Kashveen Kohli,Cotton Maxi Ethnic Dresses
https://www.myntra.com/ethnic-dresses/charukriti/charukriti-ruffled-cotton-a-line-midi-ethnic-dresses/29450022/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29450022/2024/5/10/7a6db586-45a0-49e0-8eaa-53adf33622ab1715318304679YellowCottonSolidA-lineEthnicDressWithRuffle1.jpg",Charukriti,A-Line Midi Ethnic Dress
https://www.myntra.com/dresses/lulu+%26+sky/lulu--sky-women-sheath-dress/28885716/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/28885716/2024/4/12/111dbbde-0f18-4b24-b189-5e24ec25678d1712913022192LULUSKYSheathDress1.jpg",LULU & SKY,Sheath Dress
https://www.myntra.com/dresses/trendyol/trendyol-women-bodycon-dress/27678012/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27678012/2024/2/20/49071b22-8d02-417a-9084-f259a7cb788e1708421432614TrendyolBodyconDress1.jpg",Trendyol,Women Bodycon Dress
https://www.myntra.com/dresses/pluss/pluss-turquoise-blue--yellow-floral-tie-up-neck-georgette-a-line-dress/17392810/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/17392810/2022/3/30/576f320f-6902-44e8-934b-4e4b1ece5f561648616503007-plusS-Women-Dresses-7601648616502580-1.jpg",plusS,Floral Georgette A-Line Tie-Up Neck Dress
https://www.myntra.com/ethnic-dresses/sangria/sangria-floral-embroidered-georgette-fit-and-flare-ethnic-dresses/27189390/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27189390/2024/1/24/56fcfe71-a48f-448d-8ff9-51a0ec1144571706106803557KVSFABPeachGeorgetteSequenceEmbroideredFlaredA-LineGown5.jpg",Sangria,Embroidered Ethnic Dresses
https://www.myntra.com/dresses/pinacolada/pinacolada-single-breasted-self-design-blazer-dresses/27737786/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27737786/2024/2/21/2edf15b1-0b21-4ffa-a015-40c73a4d184d1708501416839PINACOLADACapeSleeveSheathDress1.jpg",PINACOLADA,Self Design Blazer Dresses
https://www.myntra.com/dresses/pluss/pluss-orange-floral-printed-puff-sleeves-gathered-a-line-midi-dress/25397830/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/25397830/2023/10/9/820a5573-0e29-4dde-a8d1-582f86d15fbc1696819084113plusSOrangeFloralPrintMaxiDress1.jpg",plusS,Gathered A-Line Midi Dress
https://www.myntra.com/ethnic-dresses/black+%26+blah+blah/black--blah-blah-printed-flared-ethnic-midi-gown-dresses-/27950194/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27950194/2024/2/29/7f2d791b-cfb5-4925-adb6-83603da06d9e1709203321156WomenFitandFlarePrintedViscoseRayonEthnicDresses1.jpg",BLACK & BLAH BLAH,Printed Midi Ethnic Dresses
https://www.myntra.com/ethnic-dresses/fusionic/fusionic-shoulder-straps-gown-ethnic-dresses-with-dupatta/24666766/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/24666766/2023/8/25/965a6f73-a884-46fb-9699-5433feb1db601692970786298EthnicDresses1.jpg",Fusionic,Ethnic Gown & Printed Dupatta
https://www.myntra.com/dresses/biba/biba-ethnic-motifs-printed-tiered-fit--flare-cotton-midi-dress/23433582/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23433582/2023/5/26/23f04542-a059-4911-bf29-175a0e61ca3e1685119876195BibaYellowEthnicMotifsPrintA-LineMidiDress1.jpg",Biba,Printed Cotton Midi Dress
https://www.myntra.com/ethnic-dresses/mialo+fashion/-mialo-fashion-women-floral-printed-maternity-feeding-ethnic-dresses/29663414/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/29663414/2024/5/22/f4ec011b-2652-4033-83ad-8e3fa9d88c631716359436000MialofashionWomenFloralPrintedMaternityFeedingEthnicDresses1.jpg",Mialo fashion,Maternity Feeding Ethnic Dress
https://www.myntra.com/dresses/trendyol/trendyol-notched-collar-mini-blazer-dresses/27532960/buy,"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/27532960/2024/2/13/96c8ce23-8fd2-40c2-adc0-64b1eb3f3ef41707799936754TrendyolDress1.jpg",Trendyol,Mini Blazer Dresses
